^8431^;^63^;^5.9^
^8432^;^16^;^17.9^
^8732^;^2^;^228.9^
^8322^;^59^;^5.9^
^8505^;^4^;^73.9^
^8323^;^27^;^17.9^
^8726^;^0^;^222.9^
^8314^;^93^;^4.9^
^8510^;^6^;^63.9^
^8315^;^19^;^14.9^
^8418^;^9^;^20.9^
^8416^;^100^;^2.9^
^8419^;^43^;^39.9^
^8417^;^29^;^9.9^
^8734^;^4^;^114.9^
^8415^;^3^;^27.9^
^8316^;^94^;^5.9^
^8413^;^58^;^5.9^
^8414^;^11^;^17.9^
^8422^;^35^;^18.9^
^8420^;^31^;^2.9^
^8423^;^18^;^35.9^
^8421^;^55^;^8.9^
^8733^;^2^;^102.9^
^8462^;^20^;^46.9^
^11208^;^5^;^131.9^
^8731^;^0^;^422.9^
^8412^;^37^;^44.9^
^8411^;^12^;^45.9^
^8459^;^6^;^44.9^
^8460^;^6^;^45.9^
^8461^;^6^;^47.9^
^8550^;^0^;^540.9^
^8549^;^2^;^54.9^
^8539^;^0^;^365.9^
^8537^;^7^;^37.9^
^8536^;^2^;^10.9^
